# Object name	Positives	Negatives	Effects	Naming
Part_SM_DAL_Auto_Burst.Part_SM_DAL_Auto_Burst			Fire Mode Toggle Auto/Burst	
Part_SM_DAL_Foregrip_01.Part_SM_DAL_Foregrip_01	Weapon Sway -30%, Fire Rate +5%			
Part_SM_DAL_Foregrip_02.Part_SM_DAL_Foregrip_02	Weapon Sway -30%, Crit Dmg +10%			
Part_SM_DAL_Foregrip_03.Part_SM_DAL_Foregrip_03	Recoil Height -30%, Acc -10%			
Part_SM_DAL_Foregrip_04.Part_SM_DAL_Foregrip_04	Recoil Height -30%, Dmg +5%			
Part_SM_DAL_Foregrip_05.Part_SM_DAL_Foregrip_05	Reload Time -5%, Acc Bloom -30%			
Part_SM_DAL_Grip_01.Part_SM_DAL_Grip_01	Proj per Shot +1	Acc Bloom +20%, Acc +10%, Dmg -20%	Adapting	
Part_SM_DAL_Grip_02.Part_SM_DAL_Grip_02	Fire Rate +5%			
Part_SM_DAL_Grip_03.Part_SM_DAL_Grip_03	Mag Size +10%	Acc +10%, Dmg -5%		
Part_SM_DAL_Mag_01.Part_SM_DAL_Mag_01	18 Round, Dmg +10%			
Part_SM_DAL_Mag_02.Part_SM_DAL_Mag_02	25 Round			
Part_SM_DAL_Mag_03.Part_SM_DAL_Mag_03	32 Round	Dmg -10%		
Part_SM_DAL_Mag_NineVolt.Part_SM_DAL_Mag_NineVolt	9 Round			
Part_SM_DAL_Material_01_Common.Part_SM_DAL_Material_01_Common	Skin		Weapon Skin	
Part_SM_DAL_Material_02_UnCommon.Part_SM_DAL_Material_02_UnCommon	Skin		Weapon Skin	
Part_SM_DAL_Material_03_Rare.Part_SM_DAL_Material_03_Rare	Skin		Weapon Skin	
Part_SM_DAL_Material_04_Epic.Part_SM_DAL_Material_04_Epic	Skin		Weapon Skin	
Part_SM_DAL_Material_Demoskag.Part_SM_DAL_Material_Demoskag	Skin		Weapon Skin	
Part_SM_DAL_Material_HellFire.Part_SM_DAL_Material_HellFire	Skin		Weapon Skin	
Part_SM_DAL_Material_NineVolt.Part_SM_DAL_Material_NineVolt	Skin		Weapon Skin	
Part_SM_DAL_Material_Ripper.Part_SM_DAL_Material_Ripper	Skin		Weapon Skin	
Part_SM_DAL_Material_SleepingGiant.Part_SM_DAL_Material_SleepingGiant	Skin		Weapon Skin	
Part_SM_DAL_Material_Vanquisher.Part_SM_DAL_Material_Vanquisher	Skin		Weapon Skin	
Part_SM_DAL_Material_CraderMP5.Part_SM_DAL_Material_CraderMP5	Skin		Weapon Skin	
Part_SM_DAL_Rail_01.Part_SM_DAL_Rail_01				
Part_SM_DAL_Rail_02.Part_SM_DAL_Rail_02				
Part_SM_DAL_Rail_03.Part_SM_DAL_Rail_03				
Part_SM_DAL_Rail_04.Part_SM_DAL_Rail_04	iron Sights			
Part_SM_DAL_Scope_01.Part_SM_DAL_Scope_01				
Part_SM_DAL_Scope_02.Part_SM_DAL_Scope_02				
Part_SM_DAL_Scope_03.Part_SM_DAL_Scope_03				
Part_SM_DAL_Stock_01.Part_SM_DAL_Stock_01	Recoil Width -30%, Acc Bloom -20%			
Part_SM_DAL_Stock_02.Part_SM_DAL_Stock_02	Weapon Sway -30%, Fire Rate +5%			
Part_SM_DAL_Stock_03.Part_SM_DAL_Stock_03	Acc -20%, Crit Dmg +10%			
# Naming strategy	Name	Priority		
# If MagSize is Greater Than 45	Extended	1001.0		
# If Projectiles Per Shot = 2	Adapting	1003.0		
